Date,Time,Sub Type
2021-03-15,23:51:50,alarm
2021-03-15,23:51:50,alarm
2021-03-15,23:00:43,pumpSettingsOverride
2021-03-15,18:22:25,alarm
2021-03-15,18:22:25,alarm
2021-03-15,18:02:29,alarm
2021-03-15,18:02:29,alarm
2021-03-15,15:56:51,alarm
2021-03-15,15:56:51,alarm
2021-03-15,13:03:13,prime
2021-03-15,13:03:13,prime
2021-03-15,12:57:15,reservoirChange
2021-03-15,12:57:15,prime
2021-03-15,12:57:15,reservoirChange
2021-03-15,12:57:15,prime
2021-03-15,12:52:47,status
2021-03-15,12:52:47,status
2021-03-15,01:27:38,alarm
2021-03-15,01:27:38,alarm
2021-03-15,01:07:42,alarm
2021-03-15,01:07:42,alarm
2021-03-15,00:00:00,pumpSettingsOverride
2021-03-14,23:18:19,alarm
2021-03-14,23:18:19,alarm
2021-03-14,23:08:05,alarm
2021-03-14,23:08:05,alarm
2021-03-14,23:00:43,pumpSettingsOverride
2021-03-14,22:13:08,alarm
2021-03-14,22:13:08,alarm
2021-03-14,21:11:31,alarm
2021-03-14,21:11:31,alarm
2021-03-14,19:48:03,alarm
2021-03-14,19:48:03,alarm
2021-03-14,14:46:47,alarm
2021-03-14,14:46:47,alarm
2021-03-14,14:21:52,alarm
2021-03-14,14:21:52,alarm
2021-03-14,08:41:00,timeChange
2021-03-14,08:41:00,timeChange
2021-03-14,00:00:00,pumpSettingsOverride
2021-03-13,23:00:10,pumpSettingsOverride
2021-03-13,15:17:44,alarm
2021-03-13,15:17:44,alarm
2021-03-13,13:23:01,alarm
2021-03-13,13:23:01,alarm
2021-03-13,10:57:04,alarm
2021-03-13,10:57:04,alarm
2021-03-13,00:00:00,pumpSettingsOverride
2021-03-12,23:00:09,pumpSettingsOverride
2021-03-12,17:29:14,alarm
2021-03-12,17:29:14,alarm
2021-03-12,16:04:28,alarm
2021-03-12,16:04:28,alarm
2021-03-12,11:59:43,alarm
2021-03-12,11:59:43,alarm
2021-03-11,23:41:15,alarm
2021-03-11,23:41:15,alarm
2021-03-11,23:00:09,pumpSettingsOverride
2021-03-11,22:11:28,alarm
2021-03-11,22:11:28,alarm
2021-03-11,18:55:48,alarm
2021-03-11,18:55:48,alarm
2021-03-11,16:19:02,alarm
2021-03-11,16:19:02,alarm
2021-03-11,14:39:18,alarm
2021-03-11,14:39:18,alarm
2021-03-11,01:16:29,alarm
2021-03-11,01:16:29,alarm
2021-03-11,00:00:00,pumpSettingsOverride
2021-03-10,23:00:09,pumpSettingsOverride
2021-03-10,21:47:03,alarm
2021-03-10,21:47:03,alarm
2021-03-10,19:52:24,alarm
2021-03-10,19:52:24,alarm
2021-03-10,17:27:50,alarm
2021-03-10,17:27:50,alarm
2021-03-10,14:02:56,alarm
2021-03-10,14:02:56,alarm
2021-03-10,12:08:02,alarm
2021-03-10,12:08:02,alarm
2021-03-10,10:14:02,prime
2021-03-10,10:14:02,prime
2021-03-10,10:13:43,reservoirChange
2021-03-10,10:13:43,prime
2021-03-10,10:13:43,reservoirChange
2021-03-10,10:13:43,prime
2021-03-10,10:11:01,status
2021-03-10,10:11:01,status
2021-03-10,00:00:00,pumpSettingsOverride
2021-03-09,23:00:09,pumpSettingsOverride
2021-03-09,19:19:36,alarm
2021-03-09,19:19:36,alarm
2021-03-09,11:38:24,alarm
2021-03-09,11:38:24,alarm
2021-03-09,00:00:00,pumpSettingsOverride
2021-03-08,23:46:45,alarm
2021-03-08,23:46:45,alarm
2021-03-08,23:00:09,pumpSettingsOverride
2021-03-08,21:46:40,alarm
2021-03-08,21:46:40,alarm
2021-03-08,21:09:32,alarm
2021-03-08,21:09:32,alarm
2021-03-08,16:24:49,alarm
2021-03-08,16:24:49,alarm
2021-03-07,23:00:09,pumpSettingsOverride
2021-03-07,18:11:47,alarm
2021-03-07,18:11:47,alarm
2021-03-07,16:11:59,alarm
2021-03-07,16:11:59,alarm
2021-03-07,12:11:37,calibration
2021-03-07,00:00:00,pumpSettingsOverride
2021-03-06,23:57:32,prime
2021-03-06,23:57:32,prime
2021-03-06,23:54:55,reservoirChange
2021-03-06,23:54:55,prime
2021-03-06,23:54:55,reservoirChange
2021-03-06,23:54:55,prime
2021-03-06,23:30:27,alarm
2021-03-06,23:30:27,alarm
2021-03-06,23:27:20,status
2021-03-06,23:27:20,status
2021-03-06,23:00:10,pumpSettingsOverride
2021-03-06,16:12:55,alarm
2021-03-06,16:12:55,alarm
2021-03-06,12:11:43,alarm
2021-03-06,12:11:43,alarm
2021-03-06,11:58:15,alarm
2021-03-06,11:58:15,alarm
2021-03-06,10:08:26,alarm
2021-03-06,10:08:26,alarm
2021-03-06,00:00:00,pumpSettingsOverride
2021-03-05,23:00:09,pumpSettingsOverride
2021-03-05,14:25:45,alarm
2021-03-05,14:25:45,alarm
2021-03-05,12:23:05,alarm
2021-03-05,12:23:05,alarm
2021-03-05,11:30:32,alarm
2021-03-05,11:30:32,alarm
2021-03-05,00:00:00,pumpSettingsOverride
2021-03-04,23:00:09,pumpSettingsOverride
2021-03-04,19:10:03,alarm
2021-03-04,19:10:03,alarm
2021-03-04,19:00:03,alarm
2021-03-04,19:00:03,alarm
2021-03-04,13:31:04,prime
2021-03-04,13:31:04,prime
2021-03-04,13:29:31,reservoirChange
2021-03-04,13:29:31,prime
2021-03-04,13:29:31,reservoirChange
2021-03-04,13:29:31,prime
2021-03-04,13:25:17,status
2021-03-04,13:25:17,status
2021-03-04,10:56:32,alarm
2021-03-04,10:56:32,alarm
2021-03-04,03:04:15,alarm
2021-03-04,03:04:15,alarm
2021-03-04,00:08:03,alarm
2021-03-04,00:08:03,alarm
2021-03-03,23:53:04,alarm
2021-03-03,23:53:04,alarm
2021-03-03,23:00:09,pumpSettingsOverride
2021-03-03,21:33:27,alarm
2021-03-03,21:33:27,alarm
2021-03-03,20:23:39,alarm
2021-03-03,20:23:39,alarm
2021-03-03,19:38:50,alarm
2021-03-03,19:38:50,alarm
2021-03-03,18:22:20,alarm
2021-03-03,18:22:20,alarm
2021-03-03,17:42:22,alarm
2021-03-03,17:42:22,alarm
2021-03-03,00:29:51,alarm
2021-03-03,00:29:51,alarm
2021-03-02,23:00:09,pumpSettingsOverride
2021-03-02,22:04:06,alarm
2021-03-02,22:04:06,alarm
2021-03-02,21:34:40,alarm
2021-03-02,21:34:40,alarm
2021-03-02,18:48:50,alarm
2021-03-02,18:48:50,alarm
2021-03-02,18:03:56,alarm
2021-03-02,18:03:56,alarm
2021-03-02,16:28:46,alarm
2021-03-02,16:28:46,alarm
2021-03-02,13:33:44,alarm
2021-03-02,13:33:44,alarm
2021-03-02,07:59:27,alarm
2021-03-02,07:59:27,alarm
